Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Random guess;Random distance;Random hit;Predictor guess;Predictor distance;Predictor hit;Profile guess;Profile distance;Profile hit;Benchmark link (pre);Benchmark link (opt)
automotive_bitcount;bit_shifter;2;5;7;82875000;1971211320;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;3;5;7;81250000;1978281994;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;4;5;7;78375000;1939667611;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;5;5;7;76875000;1921316535;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;6;5;7;79625000;2015657124;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;7;5;7;78375000;2002556028;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;8;5;7;73125000;1881454932;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;9;5;7;73000000;1888404384;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;10;5;7;70875000;1841353836;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
automotive_bitcount;bit_shifter;11;5;7;78750000;2060457749;"9;0;16;3_16.ce;9_.ph.lr.ph";"3_16.ce;9;0;16;9_.ph.lr.ph";3;0,7000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;"9;0;16;3_16.ce;9_.ph.lr.ph";0;1,0000;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/pre/automotive_bitcount.ll;https://github.com/lac-dcc/hydra/blob/profile-projection/Cross%20Experiments/cBench/inlining/LL%20Files/opt/automotive_bitcount.ll
