File Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Benchmark link
extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c;1;5;6;1;9;4;18;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c
extr_FFmpeglibavcodeccfhd.c_difference_coding.c;0;9;11;1;65025;7;23;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccfhd.c_difference_coding.c
extr_FFmpeglibavcodeccfhd.c_difference_coding.c;1;9;11;1;100;7;23;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccfhd.c_difference_coding.c
extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c;0;34;44;0;29;41;-6677;0;41;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c
extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c;1;34;44;0;29;41;-6677;0;41;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c
extr_FFmpeglibavcodecdiracdec.c_add_frame.c;0;8;10;0;256;4;16;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_add_frame.c
extr_FFmpeglibavcodecdiracdec.c_add_frame.c;1;8;10;0;11;4;16;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_add_frame.c
extr_FFmpeglibavcodecdiracdec.c_add_frame.c;2;8;10;0;1;"0;4;16;17";16;1;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_add_frame.c
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c;0;13;16;1;65024;18;26;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c;1;13;16;1;99;18;26;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c;2;13;16;0;1;"0;5;12;13;29";26;0;18;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c
extr_FFmpeglibavcodecdss_sp.c_dss_sp_update_buf.c;0;9;11;1;115;2;22;0;2;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdss_sp.c_dss_sp_update_buf.c
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c;0;5;6;1;5;5;20;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c;1;5;6;1;5;5;20;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c;2;5;6;1;5;5;20;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c
extr_FFmpeglibavcodecexrdsp.c_predictor_scalar.c;0;5;6;1;10;2;13;0;2;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecexrdsp.c_predictor_scalar.c
extr_FFmpeglibavcodecffwavesynth.c_lcg_seek.c;0;10;13;0;8;19;27;0;19;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecffwavesynth.c_lcg_seek.c
extr_FFmpeglibavcodech261.c_h261_loop_filter.c;0;21;26;1;56;80;105;0;28;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodech261.c_h261_loop_filter.c
extr_FFmpeglibavcodech261.c_h261_loop_filter.c;1;21;26;1;56;80;105;0;28;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodech261.c_h261_loop_filter.c
extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c;0;15;20;0;256;7;38;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c
extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c;1;15;20;0;11;7;38;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c
extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c;2;15;20;0;1;"0;7;36;38;43";38;1;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c
extr_FFmpeglibavcodecilbcdec.c_get_lsp_poly.c;0;9;11;1;14;18;70;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_get_lsp_poly.c
extr_FFmpeglibavcodecilbcdec.c_get_lsp_poly.c;1;9;11;1;14;18;70;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_get_lsp_poly.c
extr_FFmpeglibavcodecilbcdec.c_index_conv.c;0;16;21;0;3;1;33;0;1;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_index_conv.c
extr_FFmpeglibavcodecilbcdec.c_lsf_interpolate.c;0;5;6;1;256;5;23;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_lsf_interpolate.c
extr_FFmpeglibavcodecilbcdec.c_lsf_interpolate.c;1;5;6;1;11;5;23;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_lsf_interpolate.c
extr_FFmpeglibavcodecilbcdec.c_lsf_interpolate.c;2;5;6;0;1;"0;5;23";23;1;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_lsf_interpolate.c
extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c;0;38;51;0;3;131;118;0;53;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c
extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c;1;38;51;0;3;131;118;0;53;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c
extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c;2;38;51;0;3;131;118;0;53;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c
extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c;3;38;51;0;3;131;118;0;53;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecimc.c_imc_adjust_bit_allocation.c
extr_FFmpeglibavcodecinterplayacm.c_juggle.c;0;9;11;1;32640;16;38;0;16;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecinterplayacm.c_juggle.c
extr_FFmpeglibavcodecinterplayacm.c_juggle.c;1;9;11;1;60;16;38;0;16;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecinterplayacm.c_juggle.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_10.c;0;9;11;1;72;7;34;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_10.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_10.c;1;9;11;1;72;7;34;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_10.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_11.c;0;9;11;1;72;7;34;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_11.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_11.c;1;9;11;1;72;7;34;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_11.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_2.c;0;9;11;1;72;7;24;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_2.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_2.c;1;9;11;1;72;7;24;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_2.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_3.c;0;9;11;1;72;7;25;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_3.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_3.c;1;9;11;1;72;7;25;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_3.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_4.c;0;9;11;1;72;7;30;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_4.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_4.c;1;9;11;1;72;7;30;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_4.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_5.c;0;12;15;1;72;7;41;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_5.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_5.c;1;12;15;1;72;7;41;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_5.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_7.c;0;12;15;1;72;7;51;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_7.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_7.c;1;12;15;1;72;7;51;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_7.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_8.c;0;9;11;1;72;7;32;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_8.c
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_8.c;1;9;11;1;72;7;32;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_8.c
extr_FFmpeglibavcodecjpeg2000dwt.c_extend97_float.c;0;5;6;1;5;3;23;0;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecjpeg2000dwt.c_extend97_float.c
extr_FFmpeglibavcodecjpeg2000dwt.c_extend97_int.c;0;5;6;1;5;3;23;0;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecjpeg2000dwt.c_extend97_int.c
extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c;0;9;11;1;32;3;35;0;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c
extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c;1;9;11;1;3;24;35;0;3;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c
extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c;2;9;11;0;1;"0;3;23;24;37";35;0;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeclossless_videodsp.c_add_bytes_c.c
extr_FFmpeglibavcodecmpegvideoencdsp.c_pix_sum_c.c;0;9;11;1;48;8;58;0;8;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecmpegvideoencdsp.c_pix_sum_c.c
extr_FFmpeglibavcodecopus_pvq.c_celt_haar1.c;0;9;11;1;32640;7;45;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopus_pvq.c_celt_haar1.c
extr_FFmpeglibavcodecopus_pvq.c_celt_haar1.c;1;9;11;1;60;7;45;0;7;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopus_pvq.c_celt_haar1.c
extr_FFmpeglibavcodecopus_pvq.c_celt_haar1.c;2;9;11;0;1;"0;4;47";45;0;7;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopus_pvq.c_celt_haar1.c
extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c;0;5;6;1;256;3;29;0;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c
extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c;1;5;6;1;11;3;29;0;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c
extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c;2;5;6;0;1;"0;3;29";29;1;3;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c
extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c;0;5;6;1;256;5;17;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c
extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c;1;5;6;1;11;5;17;0;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c
extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c;2;5;6;0;1;"0;5;17";17;1;5;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecopusdsp.c_deemphasis_c.c
extr_FFmpeglibavcodecpafvideo.c_copy_color_mask.c;0;11;14;0;5;4;23;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecpafvideo.c_copy_color_mask.c
extr_FFmpeglibavcodecpngdsp.c_add_bytes_l2_c.c;0;9;11;1;32;4;35;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecpngdsp.c_add_bytes_l2_c.c
extr_FFmpeglibavcodecpngdsp.c_add_bytes_l2_c.c;1;9;11;1;3;25;35;0;4;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecpngdsp.c_add_bytes_l2_c.c
extr_FFmpeglibavcodecpngdsp.c_add_bytes_l2_c.c;2;9;11;0;1;"0;4;24;25;37";35;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecpngdsp.c_add_bytes_l2_c.c
extr_FFmpeglibavcodecrv34dsp.c_rv34_inv_transform_dc_noround_c.c;0;9;11;1;20;9;17;0;9;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecrv34dsp.c_rv34_inv_transform_dc_noround_c.c
extr_FFmpeglibavcodecsanm.c_fill_block.c;0;9;11;1;65280;9;16;0;9;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsanm.c_fill_block.c
extr_FFmpeglibavcodecsanm.c_fill_block.c;1;9;11;1;110;9;16;0;9;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsanm.c_fill_block.c
extr_FFmpeglibavcodecsanm.c_fill_block.c;2;9;11;0;1;"0;6;20";16;0;9;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsanm.c_fill_block.c
extr_FFmpeglibavcodecsanm.c_fill_frame.c;0;4;5;1;11;4;8;0;4;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsanm.c_fill_frame.c
extr_FFmpeglibavcodecsbrdsp.c_sbr_neg_odd_64_c.c;0;5;6;1;17;1;15;0;1;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsbrdsp.c_sbr_neg_odd_64_c.c
extr_FFmpeglibavcodecsbrdsp.c_sbr_neg_odd_64_c.c;1;5;6;1;17;1;15;0;1;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsbrdsp.c_sbr_neg_odd_64_c.c
extr_FFmpeglibavcodecsbrdsp.c_sbr_qmf_pre_shuffle_c.c;0;5;6;1;16;6;49;0;6;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecsbrdsp.c_sbr_qmf_pre_shuffle_c.c
