Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Guess;Distance;Hit
automotive_susan_c;main;2;9;12;0;691;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;3;9;12;0;217;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;4;9;12;0;2740;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;5;9;12;0;314;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;6;9;12;0;214;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;7;9;12;0;966;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;8;9;12;0;3516;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;9;9;12;0;145;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;10;9;12;0;2325;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;11;9;12;0;369;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;12;9;12;0;109;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;13;9;12;0;1688;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;14;9;12;0;552;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;15;9;12;0;414;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;16;9;12;0;764;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;17;9;12;0;569;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;18;9;12;0;855;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;19;9;12;0;152;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_c;main;20;9;12;0;350;"12;12_12.ce;0;12.ph;17;17.le;7;4;7_17.ce";"12;12_12.ce;12.ph;7;7_17.ce;17.le;17;4;0";12;0,6667
automotive_susan_e;getint;1;11;14;0;3366;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;2;11;14;0;2736;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;3;11;14;0;729;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;4;11;14;0;11025;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;5;11;14;0;1314;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;6;11;14;0;603;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;7;11;14;0;4266;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;8;11;14;0;13419;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;9;11;14;0;460;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;10;11;14;0;9729;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;11;11;14;0;1640;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;12;11;14;0;240;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;13;11;14;0;4743;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;14;11;14;0;2178;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;15;11;14;0;1719;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;16;11;14;0;2862;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;17;11;14;0;1809;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
automotive_susan_e;getint;18;11;14;0;3573;"14;14_14.ce;2;9;0;14.ph;23;12;9_12.ce;4;6";"2;12;14;14.ph;23;4;9;9_12.ce;14_14.ce;6;0";22;0,6000
