bb;0
bb1547;1547
bb1548;1548
bb1549;1549
bb1550;1550
bb1552;1552
bb1553;1553
bb1555;1555
bb20.bb432_crit_edge;20_432.ce
bb204;204
bb204.bb431_crit_edge;204_431.ce
bb216;216
bb216.bb430_crit_edge;216_430.ce
bb227;227
bb227.bb429_crit_edge;227_429.ce
bb237;237
bb237.bb428_crit_edge;237_428.ce
bb251;251
bb251.bb427_crit_edge;251_427.ce
bb262;262
bb262.bb426_crit_edge;262_426.ce
bb273.bb425_crit_edge;273_425.ce
bb284;284
bb284.bb424_crit_edge;284_424.ce
bb295.bb423_crit_edge;295_423.ce
bb306.bb422_crit_edge;306_422.ce
bb316;316
bb316.bb421_crit_edge;316_421.ce
bb330;330
bb330.bb420_crit_edge;330_420.ce
bb341;341
bb341.bb419_crit_edge;341_419.ce
bb352;352
bb352.bb418_crit_edge;352_418.ce
bb363.bb417_crit_edge;363_417.ce
bb373;373
bb373.bb416_crit_edge;373_416.ce
bb387;387
bb387.bb415_crit_edge;387_415.ce
bb398;398
bb398.bb414_crit_edge;398_414.ce
bb408;408
bb414;414
bb415;415
bb416;416
bb418;418
bb419;419
bb421;421
bb422;422
bb423;423
bb424;424
bb428;428
bb429;429
bb431;431
bb432;432
bb435;435
bb436;436
bb446.bb1468_crit_edge;446_1468.ce
bb453.bb1467_crit_edge;453_1467.ce
bb462.bb1467_crit_edge;462_1467.ce
bb471.bb1467_crit_edge;471_1467.ce
bb480;480
bb480.bb1467_crit_edge;480_1467.ce
bb488;488
bb488.bb1467_crit_edge;488_1467.ce
bb497;497
bb497.bb1467_crit_edge;497_1467.ce
bb506;506
bb506.bb1467_crit_edge;506_1467.ce
bb515;515
bb515.bb1467_crit_edge;515_1467.ce
bb524.bb1467_crit_edge;524_1467.ce
bb533;533
bb533.bb1467_crit_edge;533_1467.ce
bb542;542
bb542.bb1467_crit_edge;542_1467.ce
bb550;550
bb550.bb1467_crit_edge;550_1467.ce
bb559;559
bb559.bb1467_crit_edge;559_1467.ce
bb568;568
bb568.bb1467_crit_edge;568_1467.ce
bb577;577
bb577.bb1467_crit_edge;577_1467.ce
bb586;586
bb586.bb1467_crit_edge;586_1467.ce
bb595;595
bb595.bb1467_crit_edge;595_1467.ce
bb604;604
bb604.bb1467_crit_edge;604_1467.ce
bb612;612
bb612.bb1467_crit_edge;612_1467.ce
bb621;621
bb621.bb1467_crit_edge;621_1467.ce
bb630;630
bb630.bb1467_crit_edge;630_1467.ce
bb639.bb1467_crit_edge;639_1467.ce
bb647;647
bb647.bb1467_crit_edge;647_1467.ce
bb655;655
bb655.bb1467_crit_edge;655_1467.ce
bb663;663
bb663.bb1467_crit_edge;663_1467.ce
bb671.bb1467_crit_edge;671_1467.ce
bb679;679
bb679.bb1467_crit_edge;679_1467.ce
bb687;687
bb687.bb1467_crit_edge;687_1467.ce
bb696;696
bb696.bb1467_crit_edge;696_1467.ce
bb705;705
bb705.bb1467_crit_edge;705_1467.ce
bb714;714
bb714.bb1467_crit_edge;714_1467.ce
bb722;722
bb722.bb1467_crit_edge;722_1467.ce
bb731;731
bb731.bb1467_crit_edge;731_1467.ce
bb740;740
bb740.bb1467_crit_edge;740_1467.ce
bb749;749
bb749.bb1467_crit_edge;749_1467.ce
bb758;758
bb758.bb1467_crit_edge;758_1467.ce
bb767;767
bb767.bb1467_crit_edge;767_1467.ce
bb776;776
bb776.bb1467_crit_edge;776_1467.ce
bb784;784
bb784.bb1467_crit_edge;784_1467.ce
bb793;793
bb793.bb1467_crit_edge;793_1467.ce
bb802;802
bb802.bb1467_crit_edge;802_1467.ce
bb811;811
bb811.bb1467_crit_edge;811_1467.ce
