Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_bitcount;main;5;8;11;0;15;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;6;8;11;0;13;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;7;8;11;0;11;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;8;8;11;0;9;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;9;8;11;0;8;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;10;8;11;0;7;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;11;8;11;0;7;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;12;8;11;0;2;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;13;8;11;0;825;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;14;8;11;0;427;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;15;8;11;0;286;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;16;8;11;0;215;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;17;8;11;0;172;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;18;8;11;0;172;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;19;8;11;0;143;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main;20;8;11;0;122;14;23;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;1;13;18;0;630000000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;2;13;18;0;580125000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;3;13;18;0;568750000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;4;13;18;0;548625000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;5;13;18;0;538125000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;6;13;18;0;557375000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;7;13;18;0;548625000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;8;13;18;0;511875000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
